x,y,rssi
-25,60,-87.00661370628569
-25,70,-87.93865825885719
-25,80,-88.77317062861694
-25,90,-89.52612348504974
-25,100,-90.21063150977879
-20,-100,-90.13626671439025
-20,-90,-89.43535140571434
-20,-80,-88.6600713016499
-20,-70,-87.7942069568063
-20,-60,-86.8164799306237
-20,-50,-85.69918398319165
-20,-40,-84.40823996531185
-20,-30,-82.9115468184547
-20,-20,-81.22471989593555
-20,-10,-79.59176003468815
-20,0,-78.8164799306237
-20,10,-79.59176003468815
-20,20,-81.22471989593555
-20,30,-82.9115468184547
-20,40,-84.40823996531185
-20,50,-85.69918398319165
-20,60,-86.8164799306237
-20,70,-87.7942069568063
-20,80,-88.6600713016499
-20,90,-89.43535140571434
-20,100,-90.13626671439025
-15,-100,-90.07730653343503
-15,-90,-89.36307393742686
-15,-80,-88.56948706087076
-15,-70,-87.67755095782233
-15,-60,-86.6610515159171
-15,-50,-85.48293205290129
-15,-40,-84.09010295033994
-15,-30,-82.40922017957905
-15,-20,-80.3670401387526
-15,-10,-78.095066887831
-15,0,-76.8174601448909
-15,10,-78.095066887831
-15,20,-80.3670401387526
-15,30,-82.40922017957905
-15,40,-84.09010295033994
-15,50,-85.48293205290129
-15,60,-86.6610515159171
-15,70,-87.67755095782233
-15,80,-88.56948706087076
-15,90,-89.36307393742686
-15,100,-90.07730653343503
-10,-100,-90.03457099026113
-10,-90,-89.31051081906973
-10,-80,-88.50330685314285
-10,-70,-87.59176003468815
-10,-60,-86.54561379253596
-10,-50,-85.31978678376655
-10,-40,-83.84359137102619
-10,-30,-82.0
-10,-20,-79.59176003468815
-10,-10,-76.40823996531185
-10,0,-74.0
-10,10,-76.40823996531185
-10,20,-79.59176003468815
-10,30,-82.0
-10,40,-83.84359137102619
-10,50,-85.31978678376655
-10,60,-86.54561379253596
-10,70,-87.59176003468815
-10,80,-88.50330685314285
-10,90,-89.31051081906973
-10,100,-90.03457099026113
-5,-100,-90.00867505033776
-5,-90,-89.2785869572073
-5,-80,-88.46298505602665
-5,-70,-87.53924987866904
-5,-60,-86.4744640872561
-5,-50,-85.21809105963744
-5,-40,-83.68682692251915
-5,-30,-81.72913386191226
-5,-20,-79.02711144040249
-5,-10,-74.77528010406445
-5,0,-69.1835200693763
-5,10,-74.77528010406445
-5,20,-79.02711144040249
-5,30,-81.72913386191226
-5,40,-83.68682692251915
-5,50,-85.21809105963744
-5,60,-86.4744640872561
-5,70,-87.53924987866904
-5,80,-88.46298505602665
-5,90,-89.2785869572073
-5,100,-90.00867505033776
0,-100,-90.0
0,-90,-89.2678801510292
0,-80,-88.4494397918711
0,-70,-87.52156864022811
0,-60,-86.4504200061383
0,-50,-85.1835200693763
0,-40,-83.6329598612474
0,-30,-81.6339400755146
0,-20,-78.8164799306237
0,-10,-74.0
0,0,-58.0
0,10,-74.0
0,20,-78.8164799306237
0,30,-81.6339400755146
0,40,-83.6329598612474
0,50,-85.1835200693763
0,60,-86.4504200061383
0,70,-87.52156864022811
0,80,-88.4494397918711
0,90,-89.2678801510292
0,100,-90.0
5,-100,-90.00867505033776
5,-90,-89.2785869572073
5,-80,-88.46298505602665
5,-70,-87.53924987866904
5,-60,-86.4744640872561
5,-50,-85.21809105963744
5,-40,-83.68682692251915
5,-30,-81.72913386191226
5,-20,-79.02711144040249
5,-10,-74.77528010406445
5,0,-69.1835200693763
5,10,-74.77528010406445
5,20,-79.02711144040249
5,30,-81.72913386191226
5,40,-83.68682692251915
5,50,-85.21809105963744
5,60,-86.4744640872561
5,70,-87.53924987866904
5,80,-88.46298505602665
5,90,-89.2785869572073
5,100,-90.00867505033776
10,-100,-90.03457099026113
10,-90,-89.31051081906973
10,-80,-88.50330685314285
10,-70,-87.59176003468815
10,-60,-86.54561379253596
10,-50,-85.31978678376655
10,-40,-83.84359137102619
10,-30,-82.0
10,-20,-79.59176003468815
10,-10,-76.40823996531185
10,0,-74.0
10,10,-76.40823996531185
10,20,-79.59176003468815
10,30,-82.0
10,40,-83.84359137102619
10,50,-85.31978678376655
10,60,-86.54561379253596
10,70,-87.59176003468815
10,80,-88.50330685314285
10,90,-89.31051081906973
10,100,-90.03457099026113
15,-100,-90.07730653343503
15,-90,-89.36307393742686
15,-80,-88.56948706087076
15,-70,-87.67755095782233
15,-60,-86.6610515159171
15,-50,-85.48293205290129
15,-40,-84.09010295033994
15,-30,-82.40922017957905
15,-20,-80.3670401387526
15,-10,-78.095066887831
15,0,-76.8174601448909
15,10,-78.095066887831
15,20,-80.3670401387526
15,30,-82.40922017957905
15,40,-84.09010295033994
15,50,-85.48293205290129
15,60,-86.6610515159171
15,70,-87.67755095782233
15,80,-88.56948706087076
15,90,-89.36307393742686
15,100,-90.07730653343503
20,-100,-90.13626671439025
20,-90,-89.43535140571434
20,-80,-88.6600713016499
20,-70,-87.7942069568063
20,-60,-86.8164799306237
20,-50,-85.69918398319165
20,-40,-84.40823996531185
20,-30,-82.9115468184547
20,-20,-81.22471989593555
20,-10,-79.59176003468815
20,0,-78.8164799306237
20,10,-79.59176003468815
20,20,-81.22471989593555
20,30,-82.9115468184547
20,40,-84.40823996531185
20,50,-85.69918398319165
20,60,-86.8164799306237
20,70,-87.7942069568063
20,80,-88.6600713016499
20,90,-89.43535140571434
20,100,-90.13626671439025
25,-100,-90.21063150977879
25,-90,-89.52612348504974
25,-80,-88.77317062861694
25,-70,-87.93865825885719
